phylum,class,order,family,genus
Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Wandonia
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gangjinia
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliiglaciecola
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Novispirillaceae,Caenispirillum
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Bowmanella
Bacillota,Bacilli,Bacillales,Bacillaceae,Salinibacillus
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Anoxynatronum
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Phytobacter
Spirochaetota,Spirochaetia,Winmispirales,Winmispiraceae,Rarispira
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutimonas
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Ideonella
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Pseudaquabacterium
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus
Pseudomonadota,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,Benzoatithermus
Pseudomonadota,Gammaproteobacteria,Chromatiales,Wenzhouxiangellaceae,Elongatibacter
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus
Bacteroidota,Cytophagia,Cytophagales,Leadbetterellaceae,Emticicia
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Tepidamorphaceae,Microbaculum
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ascidiimonas
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylobacter
Pseudomonadota,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Yunchengibacter
