ncbi_species,species
Helicobacter apodemus,Helicobacter_D apodemus
Erwinia sorbitola,Erwinia sorbitola
Hydrogenovibrio thermophilus,Hydrogenovibrio thermophilus
Herbiconiux aconitum,Herbiconiux aconitum
Flavobacterium glaciei,Flavobacterium glaciei
Bifidobacterium boum,Bifidobacterium boum
Rosenbergiella australiborealis,Rosenbergiella australiborealis
Pseudonocardia sediminis,Pseudonocardia sediminis
Leptospira langatensis,Leptospira_B langatensis
Massilia timonae,Telluria timonae
Winogradskyella arenosi,Winogradskyella arenosi
Allofrancisella guangzhouensis,Allofrancisella guangzhouensis
Polaribacter haliotis,Polaribacter haliotis
Williamsia phyllosphaerae,Williamsia_A phyllosphaerae
Borreliella afzelii,Borreliella afzelii
Stenotrophomonas muris,Stenotrophomonas muris
Methylosarcina fibrata,Methylosarcina fibrata
Sphingomonas anseongensis,Sphingomicrobium anseongensis
Halomonas caseinilytica,Halomonas caseinilytica
Altimarinus sp.,Altimarinus sp020724225
Aliiroseovarius crassostreae,Aliiroseovarius crassostreae
Sneathiella marina,Sneathiella marina
Bacillus cabrialesii,Bacillus cabrialesii
Deinococcus wulumuqiensis,Deinococcus wulumuqiensis
Rhizobium anhuiense,Rhizobium anhuiense
Photobacterium phosphoreum,Photobacterium phosphoreum
Caccoplasma merdavium,Caccoplasma merdavium
Nitratireductor thuwali,Chelativorans thuwali
Agrobacterium cavarae,Agrobacterium cavarae
Anaerostipes excrementavium,Anaerostipes excrementavium
Vibrio aestuarianus,Vibrio aestuarianus
Anaerosporobacter mobilis,Anaerosporobacter mobilis
Deinococcus radiopugnans,Deinococcus radiopugnans
Altererythrobacter aquiaggeris,Altererythrobacter_H aquiaggeris
Acinetobacter harbinensis,Acinetobacter harbinensis
bacterium HR40,HRBIN40 sp002898275
Marinovum algicola,Marinovum algicola
Brachyspira aalborgi,Brachyspira aalborgi
Pelotomaculum thermopropionicum,Pelotomaculum thermopropionicum
Epilithonimonas xixisoli,Epilithonimonas xixisoli
Sinorhizobium psoraleae,Sinorhizobium psoraleae
Pseudomonas agarici,Pseudomonas_E agarici
Luteimonas abyssi,Luteimonas abyssi
Sinosporangium album,Sinosporangium album
Desulfonatronum thiosulfatophilum,Desulfonatronum thiosulfatophilum
Faecalibacillus faecis,Faecalibacillus faecis
Paraburkholderia acidicola,Paraburkholderia acidicola
Sedimentibacter saalensis,Sedimentibacter saalensis
Enterocloster aldenensis,Enterocloster aldenensis
Streptomyces acidiscabies,Streptomyces acidiscabies
Sinorhizobium medicae,Sinorhizobium medicae
Metamycoplasma hominis,Metamycoplasma hominis
Solimonas soli,Solimonas soli
Streptomyces chilikensis,Streptomyces chilikensis
Rhizobium hainanense,Rhizobium hainanense
Apilactobacillus timberlakei,Apilactobacillus timberlakei
Bordetella hinzii,Bordetella hinzii
Phocaeicola barnesiae,Phocaeicola barnesiae
Roseobacteraceae bacterium,SELP01 sp035969385
Simonsiella sp.,Simonsiella sp041831015
Algoriphagus marinus,Algoriphagus marinus
Paenibacillus crassostreae,Paenibacillus crassostreae
Liquorilactobacillus nagelii,Liquorilactobacillus nagelii
Pseudomonas ceruminis,Pseudomonas_E ceruminis
Streptomyces sodiiphilus,Streptomyces sodiiphilus
Fodinicola acaciae,Fodinicola acaciae
Marinobacter mangrovi,Marinobacter_A mangrovi
Microbacterium saccharophilum,Microbacterium saccharophilum
