order,class,phylum,gene,n,n_res,f_res
Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,909,0,0
Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,662,0,0
Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,40,0,0
Rhodothermales,Rhodothermia,Bacteroidota_A,rrs_MG1655_2ndrun,14,0,0
Rickettsiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,363,0,0
Rubeoparvulales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Rubrobacterales,Rubrobacteria,Actinomycetota,rrs_MG1655_2ndrun,9,0,0
SG130,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
SK-Y3,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Saccharofermentanales,Clostridia,Bacillota,rrs_MG1655_2ndrun,4,0,0
Sedimentisphaerales,Phycisphaerae,Planctomycetota,rrs_MG1655_2ndrun,5,0,0
Selenomonadales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,18,0,0
Silvanigrellales,Oligoflexia,Bdellovibrionota_B,rrs_MG1655_2ndrun,1,0,0
Sneathiellales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,8,0,0
Solirubrobacterales,Thermoleophilia,Actinomycetota,rrs_MG1655_2ndrun,20,0,0
Sphaerochaetales,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,5,0,0
Sphingobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,232,0,0
Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,503,0,0
Spirochaetales_E,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,2,0,0
Sporichthyales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Sporomusales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,15,0,0
Staphylococcales,Bacilli,Bacillota,rrs_MG1655_2ndrun,108,0,0
Steroidobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,8,0,0
Streptomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,746,0,0
Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,221,0,0
Sulfobacillales,Sulfobacillia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Symbiobacteriales,Symbiobacteriia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Synechococcales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,2,0,0
Synergistales,Synergistia,Synergistota,rrs_MG1655_2ndrun,20,0,0
Syntrophales,Syntrophia,Desulfobacterota,rrs_MG1655_2ndrun,3,0,0
