genus,family,order,class,phylum,gene,n,n_res,f_res
Marseilla,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Martelella,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,7,0,0
Marvinbryantia,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Massilia,NA,NA,NA,NA,rrs_MG1655_2ndrun,31,0,0
Massilibacillus,Massilibacillaceae,FLKF01,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
Massilibacterium,Massilibacteriaceae,Bacillales_E,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Massilibacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Massilicoli,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Massiliimalia,Ruminococcaceae,Oscillospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Massilimicrobiota,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Massilioclostridium,Ruminococcaceae,Oscillospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Mastigocladopsis,Nostocaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Mastigocoleus,Nostocaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Mediannikoviicoccus,Peptoniphilaceae,Tissierellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Mediterranea,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Mediterraneibacter,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,7,0,0
Megalodesulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,1,0,0
Megamonas,Selenomonadaceae,Selenomonadales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,2,0,0
Megasphaera,Megasphaeraceae,Veillonellales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,11,0,0
Meinhardsimonia,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Meiothermus,Thermaceae,Deinococcales,Deinococci,Deinococcota,rrs_MG1655_2ndrun,7,0,0
