family,order,class,phylum,gene,n,n_res,f_res
Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,rpsL,59,1,0.01694915254237288
Balneatricaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,49,0,0
Balneolaceae,Balneolales,Rhodothermia,Bacteroidota_A,rpsL,18,0,0
Bdellovibrionaceae,Bdellovibrionales,Bdellovibrionia,Bdellovibrionota,rpsL,4,0,0
Beggiatoaceae,Beggiatoales,Gammaproteobacteria,Pseudomonadota,rpsL,3,0,0
Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,153,0,0
Bernardetiaceae,Cytophagales,Bacteroidia,Bacteroidota,rpsL,1,0,0
Beutenbergiaceae,Actinomycetales,Actinomycetes,Actinomycetota,rpsL,18,2,0.1111111111111111
Bifidobacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rpsL,122,2,0.01639344262295082
Borreliaceae,Borreliales,Spirochaetia,Spirochaetota,rpsL,35,1,0.02857142857142857
Brachyspiraceae,Brachyspirales,Brachyspiria,Spirochaetota,rpsL,1,0,0
Bradymonadaceae,Bradymonadales,Bradymonadia,Myxococcota,rpsL,6,0,0
