genus,family,order,class,phylum,n,n_res,f_res
Sanguibacteroides,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidota,1,0,0
Sansalvadorimonas,Hahellaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,1,0,0
Sanyastnella,Sanyastnellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Saonia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Sapientia,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Saprospira,Saprospiraceae,Saprospirales,Saprospiria,Bacteroidota,1,0,0
Sarcina,Clostridiaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Saxibacter,Brevibacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Scandinavium,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,5,0,0
Scardovia,Bifidobacteriaceae,Bifidobacteriales,Actinomycetes,Actinomycetota,2,0,0
Schaalia,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,12,2,0.16666666666666666
Schauerella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Schlesneria,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,1,1,1
Schumannella,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,2,0,0
